file,subset,frame_tp,frame_fp,frame_fn,note_tp,note_fp,note_fn,frameF0_tp,frameF0_fp,frameF0_fn,noteF0_tp,noteF0_fp,noteF0_fn,frame_tdr_num,frame_tdr_den,note_tdr_num,note_tdr_den
00_BN1-129-Eb_solo_01.npz,solo,265,115,172,56,24,36,284,96,153,60,20,32,265.0,284.0,56.0,60.0
01_BN3-119-G_solo_00.npz,solo,274,54,29,58,10,2,281,26,22,58,4,2,274.0,281.0,58.0,58.0
05_BN1-129-Eb_solo_01.npz,solo,216,4,3,44,3,1,216,4,3,44,3,1,216.0,216.0,44.0,44.0
01_BN3-119-G_solo_01.npz,solo,309,14,12,61,1,1,310,12,11,61,1,1,309.0,310.0,61.0,61.0
00_BN1-129-Eb_comp_02.npz,comp,475,102,178,99,28,37,486,90,167,101,26,35,475.0,486.0,99.0,101.0
02_BN3-154-E_solo_00.npz,solo,103,112,90,25,28,25,166,35,27,41,10,9,103.0,166.0,25.0,41.0
00_Rock1-130-A_solo_00.npz,solo,43,257,244,10,59,51,240,36,47,52,10,9,43.0,240.0,10.0,52.0
00_Jazz2-110-Bb_comp_01.npz,comp,861,253,180,155,54,27,862,248,179,155,54,27,861.0,862.0,155.0,155.0
01_BN3-154-E_solo_03.npz,solo,220,47,87,54,16,21,259,8,48,64,6,11,220.0,259.0,54.0,64.0
04_BN3-154-E_comp_03.npz,comp,108,289,281,29,75,62,108,289,281,29,75,62,108.0,108.0,29.0,29.0
03_Jazz3-137-Eb_comp_01.npz,comp,274,111,163,61,20,29,289,94,148,63,18,27,274.0,289.0,61.0,63.0
00_Rock1-130-A_solo_02.npz,solo,206,66,122,44,11,24,254,18,74,54,1,14,206.0,254.0,44.0,54.0
00_Jazz2-110-Bb_comp_03.npz,comp,1189,72,202,202,15,36,1209,52,182,205,12,33,1189.0,1209.0,202.0,205.0
03_Jazz3-137-Eb_solo_02.npz,solo,159,11,15,35,4,2,159,11,7,35,4,1,159.0,159.0,35.0,35.0
03_Funk2-108-Eb_solo_01.npz,solo,181,78,102,28,20,15,234,22,39,34,13,8,181.0,234.0,28.0,34.0
00_Funk1-114-Ab_solo_02.npz,solo,325,105,106,56,24,20,357,72,69,61,18,14,325.0,357.0,56.0,61.0
