file,subset,frame_p,frame_r,frame_f1,note_p,note_r,note_f1,frame_F0_p,frame_F0_r,frame_F0_f1,note_F0_p,note_F0_r,note_F0_f1,frame_tdr,note_tdr,frame_tp,frame_fp,frame_fn,note_tp,note_fp,note_fn,frameF0_tp,frameF0_fp,frameF0_fn,noteF0_tp,noteF0_fp,noteF0_fn
00_BN1-129-Eb_comp_01.npz,comp,0.8455598455598455,0.5328467153284672,0.6537313432835821,0.8623853211009175,0.5433526011560693,0.6666666666666666,0.9005964214711729,0.551094890510949,0.6837735849056604,0.8715596330275229,0.5491329479768786,0.6737588652482269,0.9668874172185431,0.9894736842105263,438,80,384,94,15,79,453,50,369,95,14,78
03_Rock3-117-Bb_comp_00.npz,comp,0.24508050089445438,0.20948012232415902,0.22588623248145095,0.24545454545454545,0.21428571428571427,0.2288135593220339,0.8390596745027125,0.709480122324159,0.7688483844241922,0.8272727272727273,0.7222222222222222,0.7711864406779662,0.2952586206896552,0.2967032967032967,137,422,517,27,83,99,464,89,190,91,19,35
01_Jazz3-150-C_comp_02.npz,comp,0.5798319327731093,0.41818181818181815,0.4859154929577465,0.55,0.42857142857142855,0.48175182481751827,0.6751054852320675,0.48484848484848486,0.564373897707231,0.6610169491525424,0.5064935064935064,0.5735294117647058,0.8625,0.8461538461538461,138,100,192,33,27,44,160,77,170,39,20,38
01_Jazz3-150-C_comp_03.npz,comp,0.6188340807174888,0.38333333333333336,0.4734133790737564,0.625,0.43209876543209874,0.5109489051094891,0.6981981981981982,0.4305555555555556,0.5326460481099656,0.6481481481481481,0.43209876543209874,0.5185185185185185,0.8903225806451613,1.0,138,85,222,35,21,46,155,67,205,35,19,46
03_BN1-129-Eb_solo_01.npz,solo,0.8669201520912547,0.8539325842696629,0.8603773584905661,0.8653846153846154,0.8181818181818182,0.8411214953271028,0.9465648854961832,0.9288389513108615,0.9376181474480151,0.9230769230769231,0.8727272727272727,0.897196261682243,0.9193548387096774,0.9375,228,35,39,45,7,10,248,14,19,48,4,7
03_Jazz1-130-D_solo_00.npz,solo,0.7698744769874477,0.8440366972477065,0.8052516411378556,0.7291666666666666,0.8536585365853658,0.7865168539325843,0.8535564853556485,0.9357798165137615,0.8927789934354485,0.8125,0.9512195121951219,0.8764044943820225,0.9019607843137255,0.8974358974358975,184,55,34,35,13,6,204,35,14,39,9,2
00_Funk1-114-Ab_comp_01.npz,comp,0.736,0.5287356321839081,0.6153846153846154,0.7235772357723578,0.5266272189349113,0.6095890410958904,0.776,0.5574712643678161,0.6488294314381271,0.7786885245901639,0.5621301775147929,0.6529209621993127,0.9484536082474226,0.9368421052631579,460,165,410,89,34,80,485,140,385,95,27,74
05_BN3-154-E_solo_03.npz,solo,0.7660550458715596,0.893048128342246,0.8246913580246914,0.625,0.8536585365853658,0.7216494845360825,0.7935779816513762,0.9251336898395722,0.854320987654321,0.6428571428571429,0.8780487804878049,0.7422680412371134,0.9653179190751445,0.9722222222222222,167,51,20,35,21,6,173,45,14,36,20,5
03_Rock3-117-Bb_comp_02.npz,comp,0.46598639455782315,0.37585733882030176,0.4160971905846621,0.4649122807017544,0.3680555555555556,0.4108527131782946,0.8927272727272727,0.6735253772290809,0.7677873338545739,0.8095238095238095,0.5902777777777778,0.6827309236947792,0.5580448065173116,0.6235294117647059,274,314,455,53,61,91,491,59,238,85,20,59
04_Rock1-130-A_comp_02.npz,comp,0.5127610208816705,0.32547864506627394,0.3981981981981982,0.5,0.30405405405405406,0.37815126050420167,0.8720379146919431,0.556732223903177,0.6795937211449676,0.8636363636363636,0.5314685314685315,0.658008658008658,0.6005434782608695,0.5921052631578947,221,210,458,45,45,103,368,54,293,76,12,67
05_Funk1-114-Ab_solo_02.npz,solo,0.6774193548387096,0.717948717948718,0.6970954356846473,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.6774193548387096,0.717948717948718,0.6970954356846473,0.5909090909090909,0.5909090909090909,0.5909090909090909,1.0,1.0,84,40,33,13,9,9,84,40,33,13,9,9
00_Jazz2-110-Bb_comp_00.npz,comp,0.6878914405010439,0.5136399064692128,0.5881302989736724,0.6342857142857142,0.511520737327189,0.5663265306122449,0.7828810020876826,0.5845674201091192,0.6693440428380187,0.72,0.5806451612903226,0.6428571428571429,0.8786666666666667,0.8809523809523809,659,299,624,111,64,106,750,208,533,126,49,91
05_BN3-154-E_comp_00.npz,comp,0.6798679867986799,0.3800738007380074,0.48757396449704143,0.7671232876712328,0.43410852713178294,0.5544554455445545,0.8292682926829268,0.43911439114391143,0.5741857659831122,0.9130434782608695,0.4883720930232558,0.6363636363636364,0.865546218487395,0.8888888888888888,206,97,336,56,17,73,238,49,304,63,6,66
01_Jazz1-200-B_solo_00.npz,solo,0.7555555555555555,0.84472049689441,0.7976539589442815,0.7450980392156863,0.7037037037037037,0.7238095238095238,0.8703703703703703,0.8757763975155279,0.8730650154798761,0.9019607843137255,0.8518518518518519,0.8761904761904762,0.9645390070921985,0.8260869565217391,136,44,25,38,13,16,141,21,20,46,5,8
02_BN1-147-Gb_solo_01.npz,solo,0.7289719626168224,0.8125,0.7684729064039408,0.7115384615384616,0.8222222222222222,0.7628865979381443,0.8585858585858586,0.8854166666666666,0.8717948717948718,0.8367346938775511,0.9111111111111111,0.8723404255319149,0.9176470588235294,0.9024390243902439,156,58,36,37,15,8,170,28,22,41,8,4
00_Jazz2-110-Bb_solo_03.npz,solo,0.8210227272727273,0.756544502617801,0.7874659400544959,0.796875,0.7727272727272727,0.7846153846153846,0.9532163742690059,0.8534031413612565,0.9005524861878453,0.9354838709677419,0.8787878787878788,0.90625,0.8865030674846626,0.8793103448275862,289,63,93,51,13,15,326,16,56,58,4,8
01_Jazz3-150-C_solo_03.npz,solo,0.8186046511627907,0.7364016736401674,0.775330396475771,0.711864406779661,0.7636363636363637,0.7368421052631579,0.8232558139534883,0.7405857740585774,0.7797356828193832,0.711864406779661,0.7636363636363637,0.7368421052631579,0.9943502824858758,1.0,176,39,63,42,17,13,177,38,62,42,17,13
01_BN3-119-G_comp_03.npz,comp,0.8651685393258427,0.6695652173913044,0.7549019607843137,0.8191489361702128,0.6936936936936937,0.751219512195122,0.8893905191873589,0.6852173913043478,0.7740667976424361,0.8297872340425532,0.7027027027027027,0.7609756097560976,0.9771573604060914,0.9871794871794872,385,60,190,77,17,34,394,49,181,78,16,33
