file,subset,frame_tp,frame_fp,frame_fn,note_tp,note_fp,note_fn,frameF0_tp,frameF0_fp,frameF0_fn,noteF0_tp,noteF0_fp,noteF0_fn,frame_tdr_num,frame_tdr_den,note_tdr_num,note_tdr_den
04_Funk3-98-A_comp_02.npz,comp,748,109,83,114,21,16,748,109,83,114,21,16,748.0,748.0,114.0,114.0
03_Rock3-117-Bb_solo_03.npz,solo,373,40,21,70,8,4,373,40,21,70,8,4,373.0,373.0,70.0,70.0
05_BN1-129-Eb_comp_02.npz,comp,706,37,50,138,22,12,709,34,47,138,22,12,706.0,709.0,138.0,138.0
04_BN3-154-E_solo_02.npz,solo,185,21,21,46,4,5,184,21,8,47,3,1,185.0,184.0,46.0,47.0
05_Funk1-114-Ab_comp_00.npz,comp,402,63,54,63,10,14,402,63,54,63,10,14,402.0,402.0,63.0,63.0
04_SS1-68-E_comp_01.npz,comp,2539,402,337,288,48,20,2541,400,335,288,48,20,2539.0,2541.0,288.0,288.0
04_Funk3-98-A_solo_00.npz,solo,289,22,5,42,6,2,289,22,5,42,6,2,289.0,289.0,42.0,42.0
01_BN3-154-E_comp_02.npz,comp,429,50,41,101,13,12,429,50,34,101,13,11,429.0,429.0,101.0,101.0
04_BN3-154-E_comp_02.npz,comp,114,300,278,30,80,67,114,300,278,30,80,67,114.0,114.0,30.0,30.0
02_Rock1-90-C#_solo_01.npz,solo,386,21,18,58,2,1,386,21,18,58,2,1,386.0,386.0,58.0,58.0
03_Jazz3-137-Eb_comp_02.npz,comp,363,17,25,79,4,6,363,12,25,79,4,6,363.0,363.0,79.0,79.0
05_SS1-68-E_comp_00.npz,comp,1386,154,61,144,18,6,1386,154,61,144,18,6,1386.0,1386.0,144.0,144.0
01_BN1-129-Eb_solo_02.npz,solo,259,6,1,54,1,3,259,6,1,54,1,3,259.0,259.0,54.0,54.0
05_BN1-129-Eb_solo_00.npz,solo,251,26,7,50,9,2,251,26,7,50,9,2,251.0,251.0,50.0,50.0
01_BN3-119-G_comp_02.npz,comp,458,53,89,96,16,6,464,47,83,97,15,5,458.0,464.0,96.0,97.0
05_SS1-100-C#_solo_01.npz,solo,219,36,8,36,5,1,219,36,8,36,5,1,219.0,219.0,36.0,36.0
